MAT	1	<<	Narr_001: Matthew	#01		1	"MATTHEW*~*MATTHEW CHP 1"
MAT	1	1	Narr_001: Matthew	#01		2	" {1} The book of the genealogy of Jesus Christ, the son of David, the son of Abraham."
MAT	1	2	Narr_001: Matthew	#01		3	" ||| DO NOT COMBINE |||*~*{Music--Starts @ v2}*~**~* {2} Abraham became the father of Isaac. Isaac became the father of Jacob. Jacob became the father of Judah and his brothers."
MAT	1	3	Narr_001: Matthew	#01		4	 {3} Judah became the father of Perez and Zerah by Tamar. Perez became the father of Hezron. Hezron became the father of Ram.
MAT	1	4	Narr_001: Matthew	#01		5	 {4} Ram became the father of Amminadab. Amminadab became the father of Nahshon. Nahshon became the father of Salmon.
MAT	1	5	Narr_001: Matthew	#01		6	 {5} Salmon became the father of Boaz by Rahab. Boaz became the father of Obed by Ruth. Obed became the father of Jesse.
MAT	1	6	Narr_001: Matthew	#01		7	 {6} Jesse became the father of King David. David became the father of Solomon by her who had been the wife of Uriah.
MAT	1	7	Narr_001: Matthew	#01		8	 {7} Solomon became the father of Rehoboam. Rehoboam became the father of Abijah. Abijah became the father of Asa.
MAT	1	8	Narr_001: Matthew	#01		9	 {8} Asa became the father of Jehoshaphat. Jehoshaphat became the father of Joram. Joram became the father of Uzziah.
MAT	1	9	Narr_001: Matthew	#01		10	 {9} Uzziah became the father of Jotham. Jotham became the father of Ahaz. Ahaz became the father of Hezekiah.
MAT	1	10	Narr_001: Matthew	#01		11	 {10} Hezekiah became the father of Manasseh. Manasseh became the father of Amon. Amon became the father of Josiah.
MAT	1	11	Narr_001: Matthew	#01		12	" {11} Josiah became the father of Jechoniah and his brothers, at the time of the exile to Babylon."
MAT	1	12	Narr_001: Matthew	#01		13	" {12} After the exile to Babylon, Jechoniah became the father of Shealtiel. Shealtiel became the father of Zerubbabel."
MAT	1	13	Narr_001: Matthew	#01		14	 {13} Zerubbabel became the father of Abiud. Abiud became the father of Eliakim. Eliakim became the father of Azor.
MAT	1	14	Narr_001: Matthew	#01		15	 {14} Azor became the father of Sadoc. Sadoc became the father of Achim. Achim became the father of Eliud.
MAT	1	15	Narr_001: Matthew	#01		16	 {15} Eliud became the father of Eleazar. Eleazar became the father of Matthan. Matthan became the father of Jacob.
MAT	1	16	Narr_001: Matthew	#01		17	" {16} Jacob became the father of Joseph, the husband of Mary, from whom was born Jesus, who is called Christ."
MAT	1	17	Narr_001: Matthew	#01		18	" {17} So all the generations from Abraham to David are fourteen generations; from David to the exile to Babylon fourteen generations; and from the carrying away to Babylon to the Christ, fourteen generations.*~**~*||| + 2 SECs |||*~*"
MAT	1	18	Narr_001: Matthew	#01		19	" {18} Now the birth of Jesus Christ was like this; After his mother, Mary, was engaged to Joseph, before they came together, she was found pregnant by the Holy Spirit."
