GEN	1	<<	Narr_01: Genesis	#19		1	GENESIS *~*GENESIS 1
GEN	1	1	Narr_01: Genesis	#19		2	 {1} In the beginning God created the heavens and the earth.
GEN	1	2	Narr_01: Genesis	#19		3	" {2} Now the earth was formless and empty, darkness was over the surface of the deep, and the Spirit of God was hovering over the waters. {3} And God said,"
GEN	1	3	God-FX1	#20		4	" << Let there be light,"""
GEN	1	3	Narr_01: Genesis	#19		5	" and there was light. {4} God saw that the light was good, and he separated the light from the darkness."
GEN	1	5	Narr_01: Genesis	#19		6	" {5} God called the light ""day,"" and the darkness he called ""night."" And there was evening, and there was morning--the first day. {6} And God said,"
GEN	1	6	God-FX1	#20		7	 << Let there be an expanse between the waters to separate water from water.>>
GEN	1	7	Narr_01: Genesis	#19		8	 {7} Thus God made the firmament and divided the waters which were under the firmament from the waters which were above the firmament; and it was so.
GEN	1	8	Narr_01: Genesis	#19		9	" {8} And God called the firmament Heaven. So the evening and the morning were the second day. {9} Then God said,"
GEN	1	9	God-FX1	#20		10	" << Let the waters under the heavens be gathered together into one place, and let the dry land appear.>>"
GEN	1	9	Narr_01: Genesis	#19		11	 and it was so. 
GEN	1	10	Narr_01: Genesis	#19		12	" {10} And God called the dry land Earth, and the gathering together of the waters He called Seas. And God saw that it was good. {11} Then God said,"
GEN	1	11	God-FX1	#20		13	" << Let the earth bring forth grass, the herb that yields seed, and the fruit tree that yields fruit according to its kind, whose seed is in itself, on the earth.>>"
GEN	1	11	Narr_01: Genesis	#19		14	 and it was so. 
GEN	1	12	Narr_01: Genesis	#19		15	" {12} And the earth brought forth grass, the herb that yields sed according to its kind, and the tree that yields fruit, whose seed is in itself according to its kind."
GEN	1	12	Narr_01: Genesis	#19		16	" And God saw that it was good. {13} So the evening and the morning were the third day. {14} Then God said,"
GEN	1	14	God-FX1	#20		17	" << Let there be lights in the firmament of the heavens to divide the day from the night, and let them be for signs and seasons, and for days and years,"
GEN	1	15	God-FX1	#20		18	 {15} and let them be for lights in the firmament of the heavens to give light on the earth.>>
GEN	1	15	Narr_01: Genesis	#19		19	 and it was so. {16} Then God made two great lights: the greater light to rule the day and the lesser light to rule the night. He made the stars also.
GEN	1	17	Narr_01: Genesis	#19		20	" {17} God set them in the firmament of the heavens to give light on the earth, {18} to rule over the day and over the night, and to divide the light from the darkness."
GEN	1	18	Narr_01: Genesis	#19		21	" And God saw that it was good. {19} So the evening and the morning were the fourth day. {20} Then God said,"
GEN	1	20	God-FX1	#20		22	" << Let the waters abound with an abundance of living creatures, and let the birds fly above the earth across the face of the firmament of the heavens.>>"
GEN	1	21	Narr_01: Genesis	#19		23	" {21} So God created great sea creatures and every living thing that moves, with which the waters abounded, and every winged bird according to its kind."
GEN	1	21	Narr_01: Genesis	#19		24	" And God saw that it was good. {22} And God blessed them saying,"
GEN	1	22	God-FX1	#20		25	" << Be fruitful and multiply, and fill the waters in the seas, and let birds multiply on the earth.>>"
GEN	1	23	Narr_01: Genesis	#19		26	" {23} So the evening and the morning were the fifth day. {24} Then God said,"
GEN	1	24	God-FX1	#20		27	" << Let the earth bring forth the living creature according to it's kind: cattle and creeping thing and beast of the earth, each according to its kind.>>"
GEN	1	24	Narr_01: Genesis	#19		28	" and it was so. {25} And God made the beast of the earth according to its kind, cattle according to its kind, and everything that creeps on the earth acccording to its kind."
GEN	1	25	Narr_01: Genesis	#19		29	" And God saw that it was good. {26} Then God said,"
GEN	1	26	God-FX1	#20		30	" << Let Us make man in Our image, according to Our likeness;"
GEN	1	26	God-FX1	#20		31	" let them have dominion over the fish of the sea, over the birds of the air, over the cattle, and over all the earth and over every creeping thing that creeps on the earth.>>"
GEN	1	27	Narr_01: Genesis	#19		32	 {27} So God created man in His own image; in the image of God He created him; male and female He created them.
GEN	1	28	Narr_01: Genesis	#19		33	" {28} Then God blessed them and God said to them,"
GEN	1	28	God-FX1	#20		34	 << Be fruitful and multiply; fill the earth and subdue it.
GEN	1	28	God-FX1	#20		35	" Have dominion over the fish of the sea, over the birds of the air, and over every living creature that moves on the earth.>>"
GEN	1	29	Narr_01: Genesis	#19		36	" {29} And God said,"
GEN	1	29	God-FX1	#20		37	" << See, I have given you every herb that yields seed which is on the face of all the earth, and every tree whose fruit yields seed; to you it shall be for food."
GEN	1	30	God-FX1	#20		38	" {30} Also, to every beast of the earth, to every bird of the air, and to everything that creeps on the earth in which there is life, I have given every green herb for food.>>"
GEN	1	30	Narr_01: Genesis	#19		39	" And it was so. {31} God saw all that He had made, and it was very good. And there was evening and there was morning -- the sixth day.*~**~*||||| + 2 SECs |||||*~*"
GEN	2	<<	Narr_01: Genesis	#19		40	GENESIS 2
GEN	2	1	Narr_01: Genesis	#19		41	 {1} Thus the heavens and the earth were completed in all their vast array.
GEN	2	2	Narr_01: Genesis	#19		42	 {2} By the seventh day God had finished the work He had been doing; so on the seventh day He rested from all His work.
GEN	2	3	Narr_01: Genesis	#19		43	" {3} And God blessed the seventh day and made it holy, because on it He rested from all the work of creating that He had done."
GEN	2	4	Narr_01: Genesis	#19		44	 {4} This is the account of the heavens and the earth when they were created. When the Lord God made the earth and the heavens--
GEN	2	5	Narr_01: Genesis	#19		45	" {5} and no shrub of the field had yet appeared on the earth and no plant of the field had yet sprung up, for the Lord God had not sent rain on the earth and there was no man to work the ground,"
GEN	2	6	Narr_01: Genesis	#19		46	 {6} but streams came up from the earth and watered the whole surface of the ground--
GEN	2	7	Narr_01: Genesis	#19		47	" {7} the Lord God formed the man from the dust of the ground and breathed into his nostrils the breath of life, and the man became a living being."
GEN	2	8	Narr_01: Genesis	#19		48	" {8} Now the Lord God had planted a garden in the east, in Eden; and there he put the man he had formed."
GEN	2	9	Narr_01: Genesis	#19		49	 {9} And the Lord God made all kinds of trees grow out of the ground--trees that were pleasing to the eye and good for food.
GEN	2	9	Narr_01: Genesis	#19		50	 In the middle of the garden were the tree of life and the tree of the knowledge of good and evil.
GEN	2	10	Narr_01: Genesis	#19		51	 {10} A river watering the garden flowed from Eden; from there it was separated into four headwaters.
GEN	2	11	Narr_01: Genesis	#19		52	" {11} The name of the first is the Pishon; it winds through the entire land of Havilah, where there is gold."
GEN	2	12	Narr_01: Genesis	#19		53	 {12} (The gold of that land is good; aromatic resin and onyx are also there.)
GEN	2	13	Narr_01: Genesis	#19		54	 {13} The name of the second river is the Gihon; it winds through the entire land of Cush.
GEN	2	14	Narr_01: Genesis	#19		55	 {14} The name of the third river is the Tigris; it runs along the east side of Asshur. And the fourth river is the Euphrates.
GEN	2	15	Narr_01: Genesis	#19		56	" {15} The Lord God took the man and put him in the Garden of Eden to work it and take care of it. {16} And the Lord God commanded the man,"
GEN	2	16	God-FX1	#20		57	 << You are free to eat from any tree in the garden;
GEN	2	17	God-FX1	#20		58	" {17} but you must not eat from the tree of the knowledge of good and evil, for when you eat of it you will surely die.>>"
GEN	2	18	Narr_01: Genesis	#19		59	 {18} The Lord God said
GEN	2	18	God-FX1	#20		60	 << It is not good for the man to be alone. I will make a helper suitable for him.>>
GEN	2	19	Narr_01: Genesis	#19		61	 {19} Now the Lord God had formed out of the ground all the beasts of the field and all the birds of the air.
GEN	2	19	Narr_01: Genesis	#19		62	" He brought them to the man to see what he would name them; and whatever the man called each living creature, that was its name."
GEN	2	20	Narr_01: Genesis	#19		63	" {20} So the man gave names to all the livestock, the birds of the air and all the beasts of the field. But for Adam no suitable helper was found."
GEN	2	21	Narr_01: Genesis	#19		64	 {21} So the Lord God caused the man to fall into a deep sleep.
GEN	2	21	Narr_01: Genesis	#19		65	" While he was sleeping, he took one of the man's ribs and closed up the place with flesh."
GEN	2	22	Narr_01: Genesis	#19		66	" {22} Then the Lord God made a woman from the rib he had taken out of the man, and he brought her to the man. {23} The man said,"
GEN	2	23	Adam	#07		67	" << This is now bone of my bones and flesh of my flesh; she shall be called 'woman,' for she was taken out of man.>>"
GEN	2	24	Narr_01: Genesis	#19		68	" {24} For this reason a man will leave his father and mother and be united to his wife, and they will become one flesh."
GEN	2	25	Narr_01: Genesis	#19		69	" {25} The man and his wife were both naked, and they felt no shame.*~**~*||||| + 2 SECs |||||*~*"
GEN	3	<<	Narr_01: Genesis	#19		70	GENESIS 3
GEN	3	1	Narr_01: Genesis	#19		71	" {1} Now the serpent was more crafty than any of the wild animals the Lord God had made. He said to the woman,"
GEN	3	1	Serpent-FX1	#08		72	" << Did God really say, 'You must not eat from any tree in the garden'?>>"
GEN	3	2	Narr_01: Genesis	#19		73	" {2} The woman said to the serpent,"
GEN	3	2	Woman	#23		74	" << We may eat fruit from the trees in the garden,"
GEN	3	3	Woman	#23		75	" {3} but God did say, 'You must not eat fruit from the tree that is in the middle of the garden, and you must not touch it, or you will die.>>"
GEN	3	4	Narr_01: Genesis	#19		76	" {4} The serpent said,"
GEN	3	4	Serpent-FX1	#08		77	" << You will not surely die. {5} For God knows that when you eat of it your eyes will be opened, and you will be like God, knowing good and evil."">>"
GEN	3	6	Narr_01: Genesis	#19		78	" {6} When the woman saw that the fruit of the tree was good for food and pleasing to the eye, and also desirable for gaining wisdom, she took some and ate it."
GEN	3	6	Narr_01: Genesis	#19		79	" She also gave some to her husband, who was with her, and he ate it."
