#Character ID	Max Speakers	Gender	Age	Status	Comment	Reference Comment	Hypothetical Only
2 other disciples	2	Male	Adult		Not Peter (Simon), Thomas, Nathaniel, James, or John		False
250 Israelite leaders	250	Male	Adult				False
a Jew	1	Male	Adult				False
Aaron	1	Male	Adult			EXO 32:2 <-(6 more)-> NUM 12:12	False
Abednego	1	Male	Adult		original Hebrew name: Azariah		False
Abigail	1	Female	Adult			1SA 25:19 <-(8 more)-> 1SA 25:41	False
Abijah, king of Judah	1	Male	Adult			2CH 13:4 <-(7 more)-> 2CH 13:12	False
Abimelech, king of Gerar	1	Male	Adult			GEN 20:4 <-(6 more)-> GEN 21:29	False
Abimelech, king of the Philistines (in Gerar)	1	Male	Adult			GEN 26:9 <-(4 more)-> GEN 26:29	False
Abimelech, son of Gideon (Jerubbaal)	1	Male	Adult			JDG 9:2 <-(1 more)-> JDG 9:54	False
Abiram	1	Male	Adult		son of Eliab (Reubenite)		False
Abishai, Joab's brother	1	Male	Adult			1SA 26:6 <-(2 more)-> 2SA 19:21	False
Abner, commander of Saul's army	1	Male	Adult			1SA 17:55 <-(13 more)-> 2SA 3:21	False
Abraham (Abram)	1	Male	Adult			GEN 12:11 <-(48 more)-> GEN 24:8	False
Abraham's chief servant	1	Male	Adult			GEN 24:5 <-(25 more)-> GEN 24:65	False
Absalom, son of David	1	Male	Adult			2SA 13:20 <-(14 more)-> 2SA 18:18	False
Absalom's men	-1	Male	Adult			2SA 17:20	False
Absalom's secret messengers	-1	Male	Adult			2SA 15:10	False
Achan	1	Male	Adult			JOS 7:20 & JOS 7:21	False
Achish, king of Gath	1	Male	Adult			1SA 21:14 <-(9 more)-> 1SA 29:10	False
Achsah, Caleb's daughter	1	Female	Adult			JOS 15:19 <-(1 more)-> JDG 1:15	False
Adam	1	Male	Adult			GEN 2:23 <-(1 more)-> GEN 3:12	False
Adoni-Bezek	1	Male	Adult			JDG 1:7	False
Adonijah, son of David	1	Male	Adult			1KI 1:5 <-(5 more)-> 1KI 2:17	False
Adoni-Zedek, king of Jerusalem	1	Male	Adult			JOS 10:4	False
advisers to king	-1	Male	Adult			DAN 3:24	False
afflicted person	1	Male	Adult			PSA 102:24	False
Agabus the prophet	1	Male	Adult			ACT 11:28 & ACT 21:11	False
Agag, king of the Amalekites	1	Male	Adult			1SA 15:32	False
Agur	1	Male	Adult			PRO 30:1 <-(31 more)-> PRO 30:33	False
Ahab, king of Israel	1	Male	Adult			1KI 18:5 <-(36 more)-> 2CH 18:33	False
Ahaz, king of Judah	1	Male	Adult			2KI 16:7 <-(2 more)-> ISA 7:12	False
Ahaziah, king of Israel	1	Male	Adult			1KI 22:49 <-(3 more)-> 2KI 1:8	False
Ahijah the priest	1	Male	Adult			1SA 14:36	False
Ahijah the prophet	1	Male	Adult			1KI 11:31 <-(18 more)-> 1KI 14:16	False
Ahimaaz (messenger)	1	Male	Adult			2SA 18:19 <-(3 more)-> 2SA 18:29	False
Ahimelech the priest (son of Ahitub)	1	Male	Adult			1SA 21:1 <-(4 more)-> 1SA 22:15	False
Ahithophel	1	Male	Adult			2SA 16:21 <-(2 more)-> 2SA 17:3	False
all in Nazareth synagogue	-1		Adult			LUK 4:22	False
all in temple	-1		Adult			PSA 29:9	True
all seeking God	-1		Adult			PSA 40:16	True
all the elders	-1	Male	Elder		elders of the church in Jerusalem		False
all who heard (in synagogues)	-1		Adult			ACT 9:21	False
altar	1	PreferMale	Adult			REV 16:7	False
Amasa	1	Male	Adult		leader in Ephraim		False
Amasai, chief of thirty	1	Male	Adult			1CH 12:18	False
Amaziah, king of Judah	1	Male	Adult			2KI 14:8 <-(2 more)-> 2CH 25:17	False
Amaziah, priest of Bethel	1	Male	Adult			AMO 7:10 <-(2 more)-> AMO 7:13	False
Ammonite nobles	-1	Male	Adult			2SA 10:3 & 1CH 19:3	False
Amnon, son of David	1	Male	Adult			2SA 13:4 <-(5 more)-> 2SA 13:17	False
Amos	1	Male	Adult			AMO 1:2 <-(8 more)-> AMO 8:2	False
Ananias (Annas), the high priest (father-in-law of Caiaphas)	1	Male	Elder			JHN 18:19 <-(2 more)-> ACT 23:2	False
Ananias of Damascus	1	Male	Adult			ACT 9:10 <-(2 more)-> ACT 9:17	False
Ananias of Jerusalem	1	Male	Adult			ACT 5:2 & ACT 5:5	False
Andrew	1	Male	Adult			MAT 14:17 <-(3 more)-> JHN 6:9	False
angel	-1	Male	Adult			1KI 19:5 <-(23 more)-> ACT 12:8	False
angel (one of the seven)	1		Adult			REV 17:1 <-(19 more)-> REV 22:11	False
angel flying directly overhead	1		Adult			REV 14:7	False
angel flying directly overhead, second	1		Adult			REV 14:8	False
angel flying directly overhead, third	1		Adult			REV 14:9 <-(2 more)-> REV 14:12	False
angel of the LORD, the	1	Male	Adult		Default speaker should be Jesus	GEN 16:8 <-(35 more)-> ZEC 3:10	False
angel or messenger (Greek variant: someone speaking to John)	1		Adult			REV 11:1 <-(1 more)-> REV 11:3	False
angel over waters	1		Adult			REV 16:5 & REV 16:6	False
angel standing in sun	1		Adult			REV 7:3 <-(1 more)-> REV 19:18	False
angel standing on sea and land	1		Adult			REV 10:6 <-(2 more)-> REV 10:11	False
angel who talked with Zechariah	1		Adult			ZEC 1:9 <-(23 more)-> ZEC 6:8	False
angel who wrestled with Jacob	1	Male	Adult			GEN 32:26 <-(2 more)-> GEN 32:29	False
angel, another (vision)	1		Adult			ZEC 2:4	False
angel, another, coming down from heaven	1		Adult			REV 18:2 & REV 18:3	False
angel, coming out of temple	1		Adult			REV 14:15	False
angel, coming out of temple, another	1		Adult			REV 14:18	False
angel, powerful	1		Adult			REV 5:2 <-(3 more)-> REV 18:24	False
angels at Sodom, two	2	Male	Adult			GEN 19:2 <-(6 more)-> GEN 19:22	False
