#Character ID	Code (discard)	Multiple Speakers	Gender	Age	Comment
Aaron	1	FALSE	Male		
Abigail	2	FALSE	Female		
Abijah, king of Judah	3	FALSE	Male		
Abimelech, King of Gerar	4	FALSE	Male		
Abimelech, King of Gerar/Phicol		TRUE	Male		
Abimelech, King of the Philistines (in Gerar)		FALSE	Male		
Abimelech, son of Gideon		FALSE	Male		
Abishai, Joab's brother	5	FALSE	Male		
Abner	6	FALSE	Male		
Abraham	7	FALSE	Male		
Abraham's chief servant	8	FALSE	Male		
Absalom	10	FALSE	Male		
Absalom's men	11	TRUE	Male		
Absalom's secret messengers	12	TRUE	Male		
Achan	13	FALSE	Male		
Achish	2013	FALSE	Male		
Acsah, Caleb's daughter	15	FALSE	Female		
Adam	16	FALSE	Male		
Adoni-Bezek	17	FALSE	Male		
Adonijah, son of David	19	FALSE	Male		
Adoni-Zedek, king of Jerusalem	18	FALSE	Male		
Advisers to king	21	TRUE	Male		
Agabus the prophet	2021	FALSE	Male		
Agag, king of Amalekites	22	FALSE	Male		
Ahab, king of Israel	23	FALSE	Male		
Ahaz, king of Judah	24	FALSE	Male		
Ahaziah, king of Israel	25	FALSE	Male		
Ahijah, the prophet	26	FALSE	Male		
Ahimelech the priest (son of Ahitub)	27	FALSE	Male		
Ahithophel	28	FALSE	Male		
all Egypt	465	TRUE			
all in synagogue	467	TRUE			
all in temple	468	TRUE			
all seeking God	469	TRUE			
all who heard (in synagogues)	470	TRUE			
altar	471	FALSE			
Amasai, chief of thirty (Spirit came upon)	29	FALSE	Male		
Amaziah	30	FALSE	Male		
Ammonite nobles	31	TRUE	Male		
Amnon	32	FALSE	Male		
Amos	33	FALSE	Male		
Ananias	35	FALSE	Male		
Andrew	36	FALSE	Male		
angel (one of the seven)	909	FALSE			
angel flying directly overhead	472	FALSE			
angel flying directly overhead, second	1473	FALSE			
angel flying directly overhead, third	474	FALSE			
angel of the LORD, an	1471	FALSE	Male		
angel or messenger (Greek variant: someone speaking to John)	953	FALSE			
angel over waters	2909	FALSE			
angel standing in sun	476	FALSE			
angel standing on sea and land	2473	FALSE			
angel who talked with Zechariah	477	FALSE			
angel who wrestled with Jacob		FALSE	Male		
angel, another (vision)	478	FALSE			
angel, another, coming down from heaven	3473	FALSE			
angel, coming out of temple	480	FALSE			
angel, coming out of temple, another	481	FALSE			
angel, powerful	482	FALSE			
angels at Sodom, two	473	TRUE	Male		
angels in white, two	1479	TRUE	Male		
angels, all the	1478	TRUE			
angels, living creatures, elders (thousands of thousands)	2478	TRUE			
anger of the LORD	1486	FALSE	Male		Could be either God or David
Anna, prophetess	37	FALSE	Female		
another (follower of Apollos)	487	FALSE			
another (follower of Peter/Cephas)	488	FALSE			
another holy one (in vision)	489	FALSE			
another of you (follower of Apollos)	490	FALSE			
